"id","group","drink_groom","drink_move/explore","food motivated_groom","food motivated_move/explore","groom_drink","groom_food motivated","groom_move/explore","move/explore_drink","move/explore_food motivated","move/explore_groom","move/explore_shelter","shelter_move/explore"
287,"veh_sd",0.0789473684210526,0.578947368421053,0.0413223140495868,0.429752066115702,0.0105263157894737,0.0210526315789474,0.294736842105263,0.0707964601769911,0.156342182890855,0.0678466076696165,0.188790560471976,0.559633027522936
712,"dan_sd",0,0.04,0.258215962441315,0.338028169014085,0,0.0726698262243286,0.458135860979463,0.00119617224880382,0.09688995215311,0.337320574162679,0.0538277511961723,0.416666666666667
712,"veh_sd",0.12,0.84,0.07981220657277,0.323943661971831,0.00315955766192733,0.028436018957346,0.436018957345972,0.0263157894736842,0.0789473684210526,0.330143540669856,0.0753588516746412,0.564814814814815
718,"dan_sd",0,0.0476190476190476,0.124423963133641,0.147465437788018,0,0.198529411764706,0.183823529411765,0.00347222222222222,0.111111111111111,0.0868055555555556,0.0625,0.382978723404255
718,"veh_sd",0.0476190476190476,0.904761904761905,0.184331797235023,0.543778801843318,0.00735294117647058,0.25,0.360294117647059,0.0659722222222222,0.427083333333333,0.149305555555556,0.09375,0.574468085106383
720,"dan_sd",0.03125,0.25,0.245070422535211,0.323943661971831,0.00779220779220779,0.212987012987013,0.262337662337662,0.0248344370860927,0.197019867549669,0.158940397350993,0.0231788079470199,0.2
720,"veh_sd",0.0625,0.65625,0.109859154929577,0.32112676056338,0.012987012987013,0.0909090909090909,0.41038961038961,0.0678807947019868,0.195364238410596,0.258278145695364,0.0745033112582782,0.766666666666667
786,"dan_sd",0,0.0208333333333333,0.0416666666666667,0.241666666666667,0,0.0170940170940171,0.782051282051282,0.00219780219780219,0.0659340659340659,0.4,0.0703296703296703,0.382716049382716
786,"veh_sd",0.0833333333333333,0.895833333333333,0.0416666666666667,0.675,0.0170940170940171,0.0170940170940171,0.166666666666667,0.0945054945054945,0.173626373626374,0.0835164835164835,0.10989010989011,0.580246913580247
1006,"dan_sd",0.0543478260869565,0.456521739130435,0.0198675496688742,0.450331125827815,0.03125,0.0208333333333333,0.546875,0.072463768115942,0.117753623188406,0.193840579710145,0.121376811594203,0.395061728395062
1006,"veh_sd",0.0760869565217391,0.41304347826087,0.0463576158940397,0.483443708609271,0.00520833333333333,0.0364583333333333,0.359375,0.0778985507246377,0.128623188405797,0.114130434782609,0.173913043478261,0.574074074074074
1207,"lira_sd",0.0674157303370786,0.134831460674157,0.0741935483870968,0.109677419354839,0.0164609053497942,0.0905349794238683,0.481481481481481,0.0184210526315789,0.0460526315789474,0.15,0.0368421052631579,0.116182572614108
1207,"saline_lira",0.0561797752808989,0.50561797752809,0.0225806451612903,0.3,0.0123456790123457,0.0288065843621399,0.131687242798354,0.0618421052631579,0.119736842105263,0.0407894736842105,0.118421052631579,0.37344398340249
1208,"lira_sd",0,0.0333333333333333,0.0213414634146341,0.0914634146341463,0,0.03125,0.241071428571429,0.0072992700729927,0.0437956204379562,0.0802919708029197,0.0496350364963504,0.210843373493976
