"id","group","avg_bout_length_sec_drink","avg_bout_length_sec_food motivated","avg_bout_length_sec_groom","avg_bout_length_sec_move/explore","avg_bout_length_sec_move/explore - shelter","avg_bout_length_sec_rest/groom in shelter","max_bout_length_sec_drink","max_bout_length_sec_food motivated","max_bout_length_sec_groom","max_bout_length_sec_move/explore","max_bout_length_sec_move/explore - shelter","max_bout_length_sec_rest/groom in shelter","n_bouts_drink","n_bouts_food motivated","n_bouts_groom","n_bouts_move/explore","n_bouts_move/explore - shelter","n_bouts_rest/groom in shelter"
1207,"saline_lira",7.86111111111111,12.7014285714286,3.29333333333333,42.9748717948718,1.6819801980198,15.3514893617021,20.2,51.16,7.16,238,5.08,280.44,36,56,6,78,101,141
1208,"lira_sd",3.52,21.3152,4.25666666666667,34.6642424242424,1.90885245901639,45.2657894736842,3.52,95.12,13,197.88,4.76,1652.32,1,25,24,66,61,76
1208,"saline_lira",3.80533333333333,23.9841860465116,5.09538461538462,45.5228169014084,1.81898305084746,26.697,9,84.44,12.96,124.56,3.8,978.32,15,43,13,71,59,80
1613,"lira_sd",5.78666666666667,24.3341935483871,7.66625,11.3334513274336,1.76,98.4675555555556,7.24,98.12,27.52,46.6,3.64,1559.2,3,31,32,113,26,45
1613,"saline_lira",7.01285714285714,10.6093457943925,5.84521739130435,30.6195348837209,1.90266666666667,12.6877777777778,20.48,50.92,17.24,169.72,6.72,122.04,28,107,23,129,30,72
1615,"lira_sd",0,19.6916923076923,9.8896,13.7252631578947,1.87866666666667,56.7165432098765,0,198.88,53.56,64.12,3.76,656.24,0,65,25,38,30,81
1615,"saline_lira",11.0575,23.0896153846154,10.748,23.4705882352941,2.22274509803922,33.1033333333333,31.8,297.8,50.24,98.6,6.56,879.2,16,104,20,51,51,72
1710,"LiCl",5.96,11.0533333333333,8.69244444444444,43.7789743589744,1.70933333333333,47.7714285714286,12.96,80.28,30.68,266.44,3.52,372.36,9,18,45,78,30,56
1710,"orfo",9.04,29.0155555555556,6.512,40.0985964912281,2.07454545454545,27.8071111111111,18.8,138.56,10.6,168.04,6.24,533,13,18,5,114,22,45
1710,"saline_licl",5.2,15.0933333333333,11.0447058823529,68.6980281690141,2.1356862745098,29.0469565217391,9.88,48.48,41.56,272.08,6.6,637.88,8,15,17,71,51,46
1710,"saline_orfo",5.63529411764706,16.2461538461538,4.57142857142857,54.0846808510638,1.86060606060606,14.8303448275862,11.32,81.16,17.8,238.48,7.6,114.84,17,52,14,94,33,29
1788,"orfo",5.367,21.7075,3.43272727272727,22.545,1.77460317460317,24.2716831683168,22.76,137.08,6.44,153.88,5.64,691.8,40,32,11,88,63,101
1788,"saline_orfo",4.87263157894737,15.0957894736842,4.64,34.640701754386,1.86935779816514,25.4210687022901,12.56,53.68,5,265.28,6.56,717.4,38,38,2,57,109,131
1789,"orfo",7.32941176470588,11.6088888888889,8.56923076923077,26.9304142011834,1.78466666666667,4.07438596491228,16.4,49.28,61.92,283.08,5.72,27.08,17,54,65,169,60,57
1789,"saline_orfo",6.69230769230769,10.7753043478261,11.3241379310345,27.0267716535433,1.92980392156863,4.05504,13.32,50.32,61.52,247.96,8.08,42.28,26,115,58,127,102,125
1790,"LiCl",8.59272727272727,11.0525,4.35666666666667,8.6,1.85977011494253,45.58176,16.6,65.24,9.96,52.88,4.32,1002.68,11,32,12,47,87,125
1790,"orfo",6.39428571428571,8.26571428571429,4.31428571428571,45.5017283950617,1.65714285714286,24.5549473684211,28.56,49.08,10.76,232.44,4.36,677.4,21,28,21,81,70,95
1790,"saline_licl",7.17538461538462,16.29,2.88,38.8004444444444,2.08818897637795,12.1470454545455,22.6,48.68,5,193.08,7.44,674.84,26,36,7,90,127,176
1790,"saline_orfo",9.76421052631579,14.29,2.42,60.1351898734177,1.70358974358974,10.3208080808081,21.44,46.32,2.8,292.68,5.12,60,19,48,2,79,78,99
1836,"orfo",5.09578947368421,11.2068421052632,5.97283018867924,18.4817142857143,1.61321739130435,11.835,11.8,83.84,18.28,110.8,4.6,72.56,38,76,53,140,115,136
1836,"saline_orfo",4.96903225806452,13.2206666666667,6.27245283018868,10.2014285714286,1.63626168224299,16.6255319148936,12.88,89.2,28.68,61.24,2.88,314.72,31,120,53,112,107,141
1837,"orfo",6.02666666666667,13.2745454545455,5.84142857142857,43.9554782608696,1.79391304347826,11.081568627451,20.32,128.2,20.96,276.32,5.24,66.28,21,44,28,115,46,51
1837,"saline_orfo",6.536,16.722,4.11333333333333,41.5081481481481,1.66775510204082,18.2907462686567,22,122.16,6.24,254.68,3.92,107.92,30,40,6,108,49,67
2782,"orfo",7.21217391304348,9.82222222222222,6.18762886597938,34.343119266055,1.68818181818182,15.6,12.36,34.04,20.8,275.2,4.68,68.08,23,45,97,109,44,63
2782,"saline_orfo",9.37777777777778,17.9623880597015,9.39368421052632,29.286511627907,1.704,21.4725,33.12,86.6,164.36,235.44,3.52,194.76,27,67,95,86,45,48
2784,"orfo",12.3285714285714,18.9611764705882,4.75764705882353,43.2983333333333,1.77446808510638,11.0175757575758,31.04,147.56,14.72,338.08,4.68,75.32,14,68,17,96,47,66
2784,"saline_orfo",9.01846153846154,6.29052631578947,9.53411764705882,55.5452631578947,1.85555555555556,9.883,21.72,18.52,46.52,437.68,5.6,48.92,13,38,51,95,36,40
2785,"orfo",7.9048275862069,27.5573684210526,5.04457142857143,22.5717948717949,2.12585365853659,43.1248979591837,18.04,166.88,15.64,304.56,6.56,461.6,29,76,35,78,41,49
2785,"saline_orfo",7.79571428571429,37.0417777777778,4.26545454545455,33.2533333333333,2.105,53.064262295082,14.2,130.28,9.72,191.92,7.8,777.68,28,45,11,45,40,61
