id,group,avg_bout_length_sec_drink,avg_bout_length_sec_food motivated,avg_bout_length_sec_groom,avg_bout_length_sec_move/explore,avg_bout_length_sec_move/explore - shelter,avg_bout_length_sec_rest/groom in shelter,max_bout_length_sec_drink,max_bout_length_sec_food motivated,max_bout_length_sec_groom,max_bout_length_sec_move/explore,max_bout_length_sec_move/explore - shelter,max_bout_length_sec_rest/groom in shelter,n_bouts_drink,n_bouts_food motivated,n_bouts_groom,n_bouts_move/explore,n_bouts_move/explore - shelter,n_bouts_rest/groom in shelter
720,veh_sd,5.6175999999999995,16.44121212121212,7.990526315789474,30.841834862385323,2.231,9.930461538461538,11.88,131.16,70.76,195.76,4.84,128.08,25.0,66.0,76.0,109.0,40.0,65.0
786,dan_sd,2.08,8.83,13.936538461538461,37.13192307692307,2.121111111111111,17.972093023255812,2.08,21.92,189.12,241.64,4.2,129.12,1.0,16.0,104.0,104.0,36.0,43.0
786,veh_sd,10.53103448275862,19.56875,8.157142857142857,57.84461538461538,1.840754716981132,19.562978723404257,29.08,114.84,19.48,305.04,5.24,299.88,29.0,64.0,14.0,52.0,53.0,94.0
1006,dan_sd,5.982857142857143,12.86051282051282,3.877894736842105,34.22753623188406,1.7186440677966102,14.676266666666669,11.56,44.28,8.28,223.56,6.32,140.96,28.0,39.0,19.0,138.0,59.0,75.0
1006,veh_sd,9.073548387096775,21.369166666666665,4.016470588235294,37.92093023255814,1.7109859154929579,15.873793103448277,20.12,86.56,8.6,214.0,4.72,183.68,31.0,48.0,17.0,86.0,71.0,116.0
1046,dan_hfd_light,0.0,13.206315789473683,0.0,5.973333333333334,1.6125,57.968275862068964,0.0,28.92,0.0,7.6,4.12,1290.12,0.0,19.0,0.0,3.0,32.0,116.0
1046,dan_sd_light,0.0,0.0,0.0,7.24,2.401095890410959,116.00528925619834,0.0,0.0,0.0,7.84,6.32,2918.4,0.0,0.0,0.0,2.0,73.0,121.0
1046,veh_hfd_light,8.246666666666666,25.615,2.24,5.585,2.1521052631578947,41.87856115107914,12.96,96.0,2.24,8.64,4.76,740.36,6.0,32.0,1.0,8.0,76.0,139.0
1048,dan_hfd_light,0.0,12.260645161290322,0.0,4.951111111111111,1.804,45.802285714285716,0.0,47.0,0.0,10.64,4.48,1049.56,0.0,31.0,0.0,9.0,50.0,140.0
1048,dan_sd_light,0.0,7.0,9.01142857142857,5.948571428571429,1.7094117647058824,51.70584615384615,0.0,17.68,22.0,11.84,4.12,838.8,0.0,13.0,7.0,7.0,34.0,130.0
1048,veh_hfd_light,8.32,16.28571428571429,2.08,8.221333333333334,1.785,38.692549019607846,8.32,81.28,2.08,22.88,4.88,1039.52,1.0,42.0,1.0,15.0,72.0,153.0
1048,veh_sd_light,0.0,0.0,0.0,0.0,1.822608695652174,67.06628571428571,0.0,0.0,0.0,0.0,4.32,1049.12,0.0,0.0,0.0,0.0,23.0,105.0
1207,dan_hfd_light,0.0,9.14857142857143,0.0,9.152000000000001,1.565185185185185,54.27934959349594,0.0,20.6,0.0,37.76,5.32,1274.2,0.0,14.0,0.0,15.0,54.0,123.0
1207,dan_sd_light,0.0,26.26,2.4,4.76,1.6222222222222222,133.25692307692307,0.0,55.68,2.4,4.76,2.6,813.04,0.0,8.0,1.0,1.0,9.0,52.0
1207,lira_sd,5.725714285714286,5.093333333333333,7.801904761904762,30.375897435897436,1.828,51.55090909090909,13.2,12.52,33.68,178.96,3.88,1007.36,7.0,9.0,63.0,78.0,40.0,66.0
1207,saline_lira,7.861111111111111,12.701428571428572,3.293333333333333,42.974871794871795,1.681980198019802,15.351489361702127,20.2,51.16,7.16,238.0,5.08,280.44,36.0,56.0,6.0,78.0,101.0,141.0
1207,veh_hfd_light,5.466666666666666,15.68,0.0,8.915294117647058,1.8644660194174756,35.463815028901735,7.48,45.24,0.0,30.6,6.16,697.16,3.0,27.0,0.0,17.0,103.0,173.0
1207,veh_sd_light,4.902857142857143,13.564285714285713,5.424615384615384,11.940869565217392,2.168985507246377,23.08123348017621,9.92,81.96,13.36,49.76,10.4,676.8,7.0,28.0,13.0,46.0,138.0,227.0
1208,dan_hfd_light,4.84,16.82814814814815,6.0,11.0225,1.8273333333333333,44.56142857142857,5.28,99.28,6.0,79.36,5.24,824.24,2.0,27.0,1.0,16.0,60.0,140.0
1208,dan_sd_light,0.0,7.394285714285714,7.131428571428571,11.584000000000001,1.7885714285714287,92.85260273972602,0.0,27.72,14.24,17.56,2.44,1634.24,0.0,7.0,7.0,5.0,7.0,73.0
1208,lira_sd,3.52,21.3152,4.256666666666667,34.664242424242424,1.9088524590163933,45.26578947368421,3.52,95.12,13.0,197.88,4.76,1652.32,1.0,25.0,24.0,66.0,61.0,76.0
1208,saline_lira,3.8053333333333335,23.984186046511628,5.095384615384615,45.52281690140845,1.8189830508474578,26.697,9.0,84.44,12.96,124.56,3.8,978.32,15.0,43.0,13.0,71.0,59.0,80.0
1208,veh_hfd_light,8.68,14.248163265306124,5.8,9.314285714285715,1.9058823529411766,29.406736842105264,11.12,86.52,12.12,26.4,4.32,705.08,7.0,49.0,3.0,14.0,85.0,190.0
1208,veh_sd_light,4.1,9.491851851851852,7.22,15.774545454545455,2.953650793650793,33.95634146341463,6.76,29.64,12.4,46.28,14.08,548.0,4.0,27.0,2.0,33.0,126.0,164.0
1209,dan_hfd_light,0.0,19.61684210526316,4.2,5.851428571428571,1.7519999999999998,69.3295652173913,0.0,40.84,11.32,10.88,3.12,495.84,0.0,19.0,14.0,21.0,25.0,92.0
1209,dan_sd_light,0.0,10.72888888888889,3.493333333333333,6.8966666666666665,1.4880000000000002,120.90877192982457,0.0,29.72,5.24,17.24,2.32,926.44,0.0,9.0,6.0,12.0,10.0,57.0
1209,veh_hfd_light,9.773333333333333,22.305,3.36,7.26,1.856551724137931,109.56203389830509,11.12,61.0,3.36,16.76,3.6,1178.36,3.0,16.0,1.0,16.0,29.0,59.0
1209,veh_sd_light,8.146666666666667,18.42608695652174,3.88,8.378,1.9932584269662923,39.756190476190476,11.36,66.6,9.84,32.72,4.92,1820.6,3.0,23.0,11.0,40.0,89.0,147.0
1613,lira_sd,5.786666666666666,24.3341935483871,7.66625,11.333451327433629,1.76,98.46755555555555,7.24,98.12,27.52,46.6,3.64,1559.2,3.0,31.0,32.0,113.0,26.0,45.0
1613,saline_lira,7.012857142857143,10.609345794392523,5.845217391304348,30.61953488372093,1.9026666666666667,12.687777777777779,20.48,50.92,17.24,169.72,6.72,122.04,28.0,107.0,23.0,129.0,30.0,72.0
